source_root,source_path,organized_path,media_type,extension,size_bytes,dimensions,duration_seconds,category,include_recommendation,quality_rating,target_page,target_section,notes,web_copy
shared,Cooperative Community Development Inc\CCD Brand Guidelines.pdf,website-media-filebase\09-partner-logos-brand\shared-.-CCD-Brand-Guidelines.pdf,document,.pdf,365448,,,Brand / logos,Website-ready,Good,Global design system,Brand reference,Brand source file.,
shared,Cooperative Community Development Inc\YT_ShortCCDpanout.mp4,website-media-filebase\01-home-hero-neighborhood-drone\shared-.-YT_ShortCCDpanout.mp4,video,.mp4,122202504,3840x2160,13.1,Neighborhood / drone footage,Website-ready,Strong,Home,Hero video / motion background,Short enough for design experiments.,media-library/01-home-hero-neighborhood-drone/shared-.-YT_ShortCCDpanout.mp4
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Community Day Flyer - SAVE THE DATE.jpg",website-media-filebase\08-history-walking-tour-murals\shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Community-Day-Flyer---SAVE-THE-DATE.jpg,image,.jpg,654138,695x900,,History / walking tour,Supporting,Good,About / Projects / Impact map,History and walking-tour proof,"Use for story sections, map, and galleries.",media-library/08-history-walking-tour-murals/shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Community-Day-Flyer---SAVE-THE-DATE.jpg
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Irvington Tour.jpg",website-media-filebase\08-history-walking-tour-murals\shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Irvington-Tour.jpg,image,.jpg,523444,4224x3264,,History / walking tour,Supporting,Good,About / Projects / Impact map,History and walking-tour proof,"Use for story sections, map, and galleries.",media-library/08-history-walking-tour-murals/shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Irvington-Tour.jpg
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Irvington Tour.pdf",website-media-filebase\90-source-docs\shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Irvington-Tour.pdf,document,.pdf,652053,,,Source document,Supporting,Good,Projects / Impact map,Reference copy,"Keep as source material, not visual hero media.",
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Irvington Walking Tour.docx",website-media-filebase\90-source-docs\shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Irvington-Walking-Tour.docx,document,.docx,18582,,,Source document,Supporting,Good,Projects / Impact map,Reference copy,"Keep as source material, not visual hero media.",
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Irvington Walking Tour.pdf",website-media-filebase\90-source-docs\shared-Johnny-Martin-Jr.-CEO---5-Minute-Histories-Irvington-Walking-Tour.pdf,document,.pdf,9457953,,,Source document,Supporting,Good,Projects / Impact map,Reference copy,"Keep as source material, not visual hero media.",
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - 5-Minute Histories\Martin_DHR_FIA_500-Medical-Report-Form-revised-August-2018-1.pdf",,document,.pdf,98390,,,Private/admin document,Archive,Not for website,Archive,Do not publish,Administrative or sensitive source file; catalog only.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0002.JPG",,image,.jpg,1339971,3264x2448,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
shared,"Cooperative Community Development Inc\Johnny Martin Jr., CEO - Camera 1\DSCF0003.JPG",,image,.jpg,310917,2592x1944,,Unclassified image,Review-needed,Unknown,Review,Possible supporting media,No reliable folder signal; review manually.,
