src,alt
"/media/logo-mt-st-joseph.png","Mount Saint Joseph High School"
"/media/logo-bmore-beautiful.png","BMORE Beautiful"
"/media/logo-dtlr.png","DTLR"
"/media/logo-spartan-defense.png","Spartan Defense Security Solutions"
"/media/logo-morina-enterprise.png","Morina Enterprise"
"/media/logo-royal-event-center.png","Royal Event Center"
"/media/logo-kingdom-nation.png","Kingdom Nation"
"/media/logo-passionately-yours.png","Passionately Yours"
"/media/logo-new-life.png","New Life Changing Christian Center"
"/media/logo-friends-sw-parks.png","Friends of Southwest Parks"
"/media/logo-nature-sacred.png","Nature Sacred"
"/media/logo-pleasant-grove.png","Pleasant Grove Baptist Church"
"/media/logo-umd-extension.png","University of Maryland Extension"
"/media/logo-blue-water.png","Blue Water Baltimore"
"/media/logo-nolita.png","The Nolita Project"
"/media/logo-schreiber-brothers.png","Schreiber Brothers"
"/media/logo-charismatic.png","Charismatic Consulting LLC"
"/media/logo-aha.png","Angels Helping Angels"
"/media/logo-plantation-park.png","Plantation Park Heights Urban Farm"
"/media/logo-st-joseph-assoc.png","St. Joseph Baltimore Neighborhood Association"
"/media/logo-jg-property.png","J&G Property Solutions"
"/media/logo-shubie-doo.png","Shubie Doo Demo"
"/media/logo-kre8ing.png","Kre8ing Your Ideas"
"/media/logo-boardroom-chess.png","The Board Room Chess"
"/media/logo-fmk.png","For My Kidz"
"/media/logo-word4life.png","Word 4 Life Ministries"
"/media/logo-uame.png","UAME Church"
"/media/logo-equalyze.png","Equalyze"
"/media/logo-francis-group.png","Francis Group"
